# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   52.87287287    0.00020137
   52.98298298    0.00019584
   53.09309309    0.00019065
   53.20320320    0.00018578
   53.31331331    0.00018121
   53.42342342    0.00017688
   53.53353353    0.00017271
   53.64364364    0.00016864
   53.75375375    0.00016464
   53.86386386    0.00016070
   53.97397397    0.00015683
   54.08408408    0.00015307
   54.19419419    0.00014940
   54.30430430    0.00014583
   54.41441441    0.00014233
   54.52452452    0.00013890
   54.63463463    0.00013554
   54.74474474    0.00013225
   54.85485485    0.00012900
   54.96496496    0.00012577
   55.07507508    0.00012248
   55.18518519    0.00011909
   55.29529530    0.00011557
   55.40540541    0.00011193
   55.51551552    0.00010824
   55.62562563    0.00010458
   55.73573574    0.00010104
   55.84584585    0.00009766
   55.95595596    0.00009449
   56.06606607    0.00009153
   56.17617618    0.00008876
   56.28628629    0.00008617
   56.39639640    0.00008376
   56.50650651    0.00008153
   56.61661662    0.00007949
   56.72672673    0.00007768
   56.83683684    0.00007611
   56.94694695    0.00007479
   57.05705706    0.00007375
   57.16716717    0.00007298
   57.27727728    0.00007247
   57.38738739    0.00007220
   57.49749750    0.00007213
   57.60760761    0.00007219
   57.71771772    0.00007230
   57.82782783    0.00007234
   57.93793794    0.00007222
   58.04804805    0.00007184
   58.15815816    0.00007116
   58.26826827    0.00007018
   58.37837838    0.00006896
   58.48848849    0.00006756
   58.59859860    0.00006606
   58.70870871    0.00006451
   58.81881882    0.00006297
   58.92892893    0.00006146
   59.03903904    0.00006002
   59.14914915    0.00005867
   59.25925926    0.00005744
   59.36936937    0.00005631
   59.47947948    0.00005530
   59.58958959    0.00005437
   59.69969970    0.00005351
   59.80980981    0.00005267
   59.91991992    0.00005184
   60.03003003    0.00005097
   60.14014014    0.00005006
   60.25025025    0.00004910
   60.36036036    0.00004811
   60.47047047    0.00004710
   60.58058058    0.00004610
   60.69069069    0.00004513
   60.80080080    0.00004420
   60.91091091    0.00004332
   61.02102102    0.00004249
   61.13113113    0.00004170
   61.24124124    0.00004097
   61.35135135    0.00004029
   61.46146146    0.00003966
   61.57157157    0.00003907
   61.68168168    0.00003853
   61.79179179    0.00003804
   61.90190190    0.00003759
   62.01201201    0.00003718
   62.12212212    0.00003681
   62.23223223    0.00003647
   62.34234234    0.00003616
   62.45245245    0.00003588
   62.56256256    0.00003563
   62.67267267    0.00003540
   62.78278278    0.00003519
   62.89289289    0.00003500
   63.00300300    0.00003484
   63.11311311    0.00003469
   63.22322322    0.00003457
   63.33333333    0.00003446
   63.44344344    0.00003438
   63.55355355    0.00003431
   63.66366366    0.00003427
   63.77377377    0.00003425
   63.88388388    0.00003425
   63.99399399    0.00003427
   64.10410410    0.00003432
   64.21421421    0.00003439
   64.32432432    0.00003450
   64.43443443    0.00003463
   64.54454454    0.00003479
   64.65465465    0.00003499
   64.76476476    0.00003523
   64.87487487    0.00003551
   64.98498498    0.00003583
   65.09509510    0.00003620
   65.20520521    0.00003662
   65.31531532    0.00003709
   65.42542543    0.00003762
   65.53553554    0.00003819
   65.64564565    0.00003880
   65.75575576    0.00003945
   65.86586587    0.00004010
   65.97597598    0.00004077
   66.08608609    0.00004142
   66.19619620    0.00004205
   66.30630631    0.00004266
   66.41641642    0.00004324
   66.52652653    0.00004379
   66.63663664    0.00004432
   66.74674675    0.00004483
   66.85685686    0.00004536
   66.96696697    0.00004592
   67.07707708    0.00004654
   67.18718719    0.00004723
   67.29729730    0.00004801
   67.40740741    0.00004886
   67.51751752    0.00004977
   67.62762763    0.00005069
   67.73773774    0.00005159
   67.84784785    0.00005245
   67.95795796    0.00005324
   68.06806807    0.00005398
   68.17817818    0.00005469
   68.28828829    0.00005540
   68.39839840    0.00005612
   68.50850851    0.00005687
   68.61861862    0.00005764
   68.72872873    0.00005841
   68.83883884    0.00005916
   68.94894895    0.00005989
   69.05905906    0.00006056
   69.16916917    0.00006120
   69.27927928    0.00006182
   69.38938939    0.00006245
   69.49949950    0.00006312
   69.60960961    0.00006388
   69.71971972    0.00006476
   69.82982983    0.00006578
   69.93993994    0.00006695
   70.05005005    0.00006823
   70.16016016    0.00006958
   70.27027027    0.00007098
   70.38038038    0.00007239
   70.49049049    0.00007383
   70.60060060    0.00007534
   70.71071071    0.00007697
   70.82082082    0.00007874
   70.93093093    0.00008066
   71.04104104    0.00008267
   71.15115115    0.00008473
   71.26126126    0.00008680
   71.37137137    0.00008885
   71.48148148    0.00009089
   71.59159159    0.00009293
   71.70170170    0.00009494
   71.81181181    0.00009686
   71.92192192    0.00009857
   72.03203203    0.00009993
   72.14214214    0.00010085
   72.25225225    0.00010127
   72.36236236    0.00010126
   72.47247247    0.00010091
   72.58258258    0.00010041
   72.69269269    0.00009993
   72.80280280    0.00009961
   72.91291291    0.00009957
   73.02302302    0.00009988
   73.13313313    0.00010057
   73.24324324    0.00010164
   73.35335335    0.00010308
   73.46346346    0.00010486
   73.57357357    0.00010692
   73.68368368    0.00010915
   73.79379379    0.00011148
   73.90390390    0.00011378
   74.01401401    0.00011602
   74.12412412    0.00011817
   74.23423423    0.00012027
   74.34434434    0.00012234
   74.45445445    0.00012439
   74.56456456    0.00012640
   74.67467467    0.00012834
   74.78478478    0.00013025
   74.89489489    0.00013218
   75.00500501    0.00013426
   75.11511512    0.00013662
   75.22522523    0.00013939
   75.33533534    0.00014261
   75.44544545    0.00014621
   75.55555556    0.00014995
   75.66566567    0.00015345
   75.77577578    0.00015623
   75.88588589    0.00015787
   75.99599600    0.00015815
   76.10610611    0.00015721
   76.21621622    0.00015544
   76.32632633    0.00015340
   76.43643644    0.00015161
   76.54654655    0.00015046
   76.65665666    0.00015016
   76.76676677    0.00015077
   76.87687688    0.00015223
   76.98698699    0.00015443
   77.09709710    0.00015724
   77.20720721    0.00016055
   77.31731732    0.00016429
   77.42742743    0.00016837
   77.53753754    0.00017270
   77.64764765    0.00017717
   77.75775776    0.00018167
   77.86786787    0.00018614
   77.97797798    0.00019048
   78.08808809    0.00019461
   78.19819820    0.00019844
   78.30830831    0.00020193
   78.41841842    0.00020515
   78.52852853    0.00020830
   78.63863864    0.00021166
   78.74874875    0.00021551
   78.85885886    0.00022009
   78.96896897    0.00022558
   79.07907908    0.00023203
   79.18918919    0.00023944
   79.29929930    0.00024770
   79.40940941    0.00025659
   79.51951952    0.00026586
   79.62962963    0.00027518
   79.73973974    0.00028420
   79.84984985    0.00029256
   79.95995996    0.00029992
   80.07007007    0.00030596
   80.18018018    0.00031044
   80.29029029    0.00031328
   80.40040040    0.00031454
   80.51051051    0.00031448
   80.62062062    0.00031349
   80.73073073    0.00031202
   80.84084084    0.00031053
   80.95095095    0.00030937
   81.06106106    0.00030874
   81.17117117    0.00030870
   81.28128128    0.00030912
   81.39139139    0.00030979
   81.50150150    0.00031047
   81.61161161    0.00031091
   81.72172172    0.00031100
   81.83183183    0.00031069
   81.94194194    0.00031009
   82.05205205    0.00030937
   82.16216216    0.00030877
   82.27227227    0.00030854
   82.38238238    0.00030892
   82.49249249    0.00031007
   82.60260260    0.00031209
   82.71271271    0.00031504
   82.82282282    0.00031897
   82.93293293    0.00032395
   83.04304304    0.00033013
   83.15315315    0.00033760
   83.26326326    0.00034637
   83.37337337    0.00035626
   83.48348348    0.00036687
   83.59359359    0.00037767
   83.70370370    0.00038808
   83.81381381    0.00039766
   83.92392392    0.00040617
   84.03403403    0.00041360
   84.14414414    0.00042005
   84.25425425    0.00042564
   84.36436436    0.00043042
   84.47447447    0.00043435
   84.58458458    0.00043733
   84.69469469    0.00043927
   84.80480480    0.00044011
   84.91491491    0.00043984
   85.02502503    0.00043857
   85.13513514    0.00043647
   85.24524525    0.00043383
   85.35535536    0.00043095
   85.46546547    0.00042818
   85.57557558    0.00042589
   85.68568569    0.00042442
   85.79579580    0.00042407
   85.90590591    0.00042504
   86.01601602    0.00042735
   86.12612613    0.00043088
   86.23623624    0.00043543
   86.34634635    0.00044078
   86.45645646    0.00044679
   86.56656657    0.00045342
   86.67667668    0.00046071
   86.78678679    0.00046876
   86.89689690    0.00047759
   87.00700701    0.00048717
   87.11711712    0.00049733
   87.22722723    0.00050780
   87.33733734    0.00051822
   87.44744745    0.00052819
   87.55755756    0.00053731
   87.66766767    0.00054535
   87.77777778    0.00055232
   87.88788789    0.00055853
   87.99799800    0.00056456
   88.10810811    0.00057114
   88.21821822    0.00057892
   88.32832833    0.00058841
   88.43843844    0.00059990
   88.54854855    0.00061348
   88.65865866    0.00062912
   88.76876877    0.00064669
   88.87887888    0.00066594
   88.98898899    0.00068636
   89.09909910    0.00070711
   89.20920921    0.00072693
   89.31931932    0.00074428
   89.42942943    0.00075754
   89.53953954    0.00076542
   89.64964965    0.00076731
   89.75975976    0.00076344
   89.86986987    0.00075491
   89.97997998    0.00074348
   90.09009009    0.00073130
   90.20020020    0.00072050
   90.31031031    0.00071287
   90.42042042    0.00070970
   90.53053053    0.00071160
   90.64064064    0.00071857
   90.75075075    0.00072997
   90.86086086    0.00074454
   90.97097097    0.00076060
   91.08108108    0.00077625
   91.19119119    0.00078965
   91.30130130    0.00079936
   91.41141141    0.00080442
   91.52152152    0.00080437
   91.63163163    0.00079912
   91.74174174    0.00078890
   91.85185185    0.00077427
   91.96196196    0.00075617
   92.07207207    0.00073589
   92.18218218    0.00071494
   92.29229229    0.00069479
   92.40240240    0.00067663
   92.51251251    0.00066120
   92.62262262    0.00064876
   92.73273273    0.00063914
   92.84284284    0.00063192
   92.95295295    0.00062658
   93.06306306    0.00062266
   93.17317317    0.00061984
   93.28328328    0.00061795
   93.39339339    0.00061689
   93.50350350    0.00061656
   93.61361361    0.00061675
   93.72372372    0.00061713
   93.83383383    0.00061725
   93.94394394    0.00061666
   94.05405405    0.00061498
   94.16416416    0.00061207
   94.27427427    0.00060808
   94.38438438    0.00060341
   94.49449449    0.00059855
   94.60460460    0.00059393
   94.71471471    0.00058977
   94.82482482    0.00058602
