# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   73.79379379    0.00011099
   73.90390390    0.00011223
   74.01401401    0.00011380
   74.12412412    0.00011577
   74.23423423    0.00011815
   74.34434434    0.00012090
   74.45445445    0.00012389
   74.56456456    0.00012702
   74.67467467    0.00013013
   74.78478478    0.00013314
   74.89489489    0.00013599
   75.00500501    0.00013867
   75.11511512    0.00014120
   75.22522523    0.00014366
   75.33533534    0.00014617
   75.44544545    0.00014881
   75.55555556    0.00015161
   75.66566567    0.00015453
   75.77577578    0.00015740
   75.88588589    0.00016006
   75.99599600    0.00016240
   76.10610611    0.00016445
   76.21621622    0.00016640
   76.32632633    0.00016852
   76.43643644    0.00017106
   76.54654655    0.00017419
   76.65665666    0.00017797
   76.76676677    0.00018235
   76.87687688    0.00018719
   76.98698699    0.00019231
   77.09709710    0.00019757
   77.20720721    0.00020286
   77.31731732    0.00020816
   77.42742743    0.00021348
   77.53753754    0.00021887
   77.64764765    0.00022435
   77.75775776    0.00022996
   77.86786787    0.00023567
   77.97797798    0.00024146
   78.08808809    0.00024727
   78.19819820    0.00025297
   78.30830831    0.00025841
   78.41841842    0.00026347
   78.52852853    0.00026814
   78.63863864    0.00027257
   78.74874875    0.00027700
   78.85885886    0.00028171
   78.96896897    0.00028690
   79.07907908    0.00029258
   79.18918919    0.00029854
   79.29929930    0.00030439
   79.40940941    0.00030968
   79.51951952    0.00031395
   79.62962963    0.00031693
   79.73973974    0.00031858
   79.84984985    0.00031911
   79.95995996    0.00031891
   80.07007007    0.00031845
   80.18018018    0.00031818
   80.29029029    0.00031841
   80.40040040    0.00031925
   80.51051051    0.00032068
   80.62062062    0.00032258
   80.73073073    0.00032486
   80.84084084    0.00032752
   80.95095095    0.00033067
   81.06106106    0.00033445
   81.17117117    0.00033902
   81.28128128    0.00034450
   81.39139139    0.00035092
   81.50150150    0.00035825
   81.61161161    0.00036631
   81.72172172    0.00037477
   81.83183183    0.00038309
   81.94194194    0.00039052
   82.05205205    0.00039623
   82.16216216    0.00039947
   82.27227227    0.00039985
   82.38238238    0.00039749
   82.49249249    0.00039296
   82.60260260    0.00038710
   82.71271271    0.00038086
   82.82282282    0.00037511
   82.93293293    0.00037057
   83.04304304    0.00036772
   83.15315315    0.00036678
   83.26326326    0.00036770
   83.37337337    0.00037019
   83.48348348    0.00037375
   83.59359359    0.00037779
   83.70370370    0.00038175
   83.81381381    0.00038527
   83.92392392    0.00038819
   84.03403403    0.00039063
   84.14414414    0.00039287
   84.25425425    0.00039530
   84.36436436    0.00039833
   84.47447447    0.00040232
   84.58458458    0.00040750
   84.69469469    0.00041397
   84.80480480    0.00042163
   84.91491491    0.00043019
   85.02502503    0.00043914
   85.13513514    0.00044782
   85.24524525    0.00045547
   85.35535536    0.00046137
   85.46546547    0.00046496
   85.57557558    0.00046602
   85.68568569    0.00046466
   85.79579580    0.00046140
   85.90590591    0.00045696
   86.01601602    0.00045219
   86.12612613    0.00044785
   86.23623624    0.00044461
   86.34634635    0.00044291
   86.45645646    0.00044297
   86.56656657    0.00044480
   86.67667668    0.00044810
   86.78678679    0.00045230
   86.89689690    0.00045649
   87.00700701    0.00045952
   87.11711712    0.00046021
   87.22722723    0.00045763
   87.33733734    0.00045149
   87.44744745    0.00044226
   87.55755756    0.00043104
   87.66766767    0.00041925
   87.77777778    0.00040823
   87.88788789    0.00039902
   87.99799800    0.00039225
   88.10810811    0.00038821
   88.21821822    0.00038694
   88.32832833    0.00038828
   88.43843844    0.00039199
   88.54854855    0.00039774
   88.65865866    0.00040511
   88.76876877    0.00041362
   88.87887888    0.00042271
   88.98898899    0.00043174
   89.09909910    0.00044007
   89.20920921    0.00044711
   89.31931932    0.00045250
   89.42942943    0.00045616
   89.53953954    0.00045832
   89.64964965    0.00045944
   89.75975976    0.00046005
   89.86986987    0.00046065
   89.97997998    0.00046158
   90.09009009    0.00046307
   90.20020020    0.00046517
   90.31031031    0.00046783
   90.42042042    0.00047090
   90.53053053    0.00047424
   90.64064064    0.00047778
   90.75075075    0.00048160
   90.86086086    0.00048596
   90.97097097    0.00049121
   91.08108108    0.00049767
   91.19119119    0.00050551
   91.30130130    0.00051468
   91.41141141    0.00052491
   91.52152152    0.00053581
   91.63163163    0.00054692
   91.74174174    0.00055783
   91.85185185    0.00056821
   91.96196196    0.00057787
   92.07207207    0.00058679
   92.18218218    0.00059504
   92.29229229    0.00060268
   92.40240240    0.00060968
   92.51251251    0.00061585
   92.62262262    0.00062093
   92.73273273    0.00062462
   92.84284284    0.00062667
   92.95295295    0.00062701
   93.06306306    0.00062577
   93.17317317    0.00062330
   93.28328328    0.00062020
   93.39339339    0.00061715
   93.50350350    0.00061477
   93.61361361    0.00061340
   93.72372372    0.00061308
   93.83383383    0.00061348
   93.94394394    0.00061417
   94.05405405    0.00061475
   94.16416416    0.00061506
   94.27427427    0.00061517
   94.38438438    0.00061534
   94.49449449    0.00061595
   94.60460460    0.00061741
   94.71471471    0.00062013
   94.82482482    0.00062444
   94.93493493    0.00063052
   95.04504505    0.00063834
   95.15515516    0.00064759
   95.26526527    0.00065767
   95.37537538    0.00066781
   95.48548549    0.00067723
   95.59559560    0.00068535
   95.70570571    0.00069195
   95.81581582    0.00069731
   95.92592593    0.00070202
   96.03603604    0.00070686
   96.14614615    0.00071257
   96.25625626    0.00071973
   96.36636637    0.00072865
   96.47647648    0.00073938
   96.58658659    0.00075162
   96.69669670    0.00076477
   96.80680681    0.00077795
   96.91691692    0.00079009
   97.02702703    0.00080010
   97.13713714    0.00080701
   97.24724725    0.00081018
   97.35735736    0.00080942
   97.46746747    0.00080494
   97.57757758    0.00079730
   97.68768769    0.00078724
   97.79779780    0.00077554
   97.90790791    0.00076289
   98.01801802    0.00074980
   98.12812813    0.00073659
   98.23823824    0.00072346
   98.34834835    0.00071066
   98.45845846    0.00069856
   98.56856857    0.00068769
   98.67867868    0.00067865
   98.78878879    0.00067197
   98.89889890    0.00066798
   99.00900901    0.00066678
   99.11911912    0.00066826
   99.22922923    0.00067224
   99.33933934    0.00067853
   99.44944945    0.00068707
   99.55955956    0.00069783
   99.66966967    0.00071074
   99.77977978    0.00072552
   99.88988989    0.00074163
  100.00000000    0.00075827
